*7650
0000+49   BD 49 4329  
1425+19   DY BOO      
1425+20   DZ BOO      
1425+39   V BOO       
1425+39B  113 VAR SE  
1425+39C  92 COMP NW  
1425+84   R CAM       
1425+84B  69 COMP E   
1425-29   Y CEN       
1425-50   HY LUP      
1425-56   V CEN       
1425-71   ST APS      
1426+39   NSV 6696    
1426-40   V530 CEN    
1427+30   RHO BOO     
1427+76   NSV 6687    
1427-39   HD 127565   
1427-60   TX CEN      
1427-60B  V798 CEN    
1428+38   GAMMA BOO   
1428-39   V854 CEN    
1428-57   V842 CEN    
1429+37   CP BOO      
1429-00   OU VIR      
1429-41   ETA CEN     
1429-42   Z LUP       
1429-61   V737 CEN    
1429-72   SV APS      
1430+02   NT VIR      
1430+25   AD BOO      
1430+37   NSV 6718    
1430-40   V532 CEN    
1431+03   NU VIR      
1431+59   SN 2003DU   
1432+24   RXJ1437.0+  
1432+27   R BOO       
1433+30   SN 2001CK   
1433+36   BW BOO      
1434-17   V LIB       
1435+28   EG BOO      
1435+32   RV BOO      
1436-63   BY CIR      
1436-68   AE CIR      
1437+32   RW BOO      
1437-19A  SX LIB      
1437-19B  GS LIB      
1437-19C  VAR? A      
1438+14   S10808      
1438+35   MARK 478    
1438+37   SAO 64289   
1439+22A  UZ BOO      
1439+22B  UZ BOO?     
1439+22C  STAR SE     
1439+26   W BOO       
1440+02   SN 1983P    
1440-31   V553 CEN    
1440-59   AR CIR      
1441+15   EK BOO      
1441+41   TW BOO      
1441+56   UV DRA      
1441-67   AV CIR      
1441-68   AK CIR      
1441-68B  BL CIR      
1442+05   BG VIR      
1443+39   RR BOO      
1443+39B  87 COMP SW  
1443+39C  95 VAR? NW  
1443+39D  94 COMP SE  
1443-56   NSV 6819    
1444-63   AX CIR      
1445+23   RY BOO      
1446+19   XI BOO      
1446+23   VAR? 8.1    
1446-46A  S LUP       
1446-46B  X LUP       
1446-76   R APS       
1447+19   EO BOO      
1447+26   EP BOO      
1448+19   DE BOO      
1448+64   KV DRA      
1448-62   THETA CIR   
1449+16   CE BOO      
1449+18   U BOO       
1452-12   FY LIB      
1452-31   V822 CEN    
1452-53   HEN 3-1044  
1452-54   Y LUP       
1453+25   NSV 6869    
1454+41   TT BOO      
1454-71   HD 132483   
1455-08   DELTA LIB   
1455-11   HV LIB      
1455-29   BE CEN      
1455-29B  NSV 6883    
1455-71   V APS       
1456+66   RR UMI      
1456-24   HX LIB      
1457-54   GSC86850322 
1458+32   EV BOO      
1458+40   BETA BOO    
1458-24   SIGMA LIB   
1459+09   1504+09     
1459+25   EX BOO      
1459-41   GI LUP      
1459-71   S APS       
1459-71B  103 VAR W   
1500-18   RT LIB      
1500-68   T TRA       
1502+01   SN 1987B    
1502+25   NSV 6945    
1502-20   YY LIB      
1502-41   NSV 6952    
1503-40   WRA 1292    
1504-69   X TRA       
1505+12   FF BOO      
1505-19   T LIB       
1505-64   EK TRA      
1506+55   SN 1964O    
1506-05   Y LIB       
1506-19   IOTA LIB    
1506-48   AG LUP      
1507+19   FL SER      
1507-01   - LIB       
1508+09   OP SER      
1508+23   NY SER      
1508+50   FG BOO      
1508-01   Y SER       
1508-50   W LUP       
1509-02   OQ SER      
1510+83   Z UMI       
1510-66   R TRA       
1511+02   Z SER       
1511-09   BETA LIB    
1511-23   AQ LIB      
1511-24   AP LIB      
1511-24B  NSV 20287   
1511-50   AM LUP      
1512-24   AU LIB      
1512-68   1E 1516.6   
1513+29   RX CRB      
1513+36   RT BOO      
1513+36B  116 VAR? S  
1513-24   AV LIB      
1514+02   MQ SER      
1514+15   TMZ V45     
1514+27   NSV 7018    
1514+32   U CRB       
1514-08   FZ LIB      
1514-24   GW LIB      
1515-20   S LIB       
1515-62   HD 136488   
1516+59   NSV 7030    
1517+05   SN 2001X    
1517+14   S SER       
1517+31   S CRB       
1517+31B  122 COMP E  
1517+31C  127 COMP E  
1517-23   RW LIB      
1518+31   UU CRB      
1518-22   RS LIB      
1518-75   AG APS      
1519-01   OV SER      
1520+37   YZ BOO      
1520-48   KP LUP      
1520-73   KAPPA1 APS  
1521+08   QW SER      
1521+10   OW SER      
1521+15   NSV 7074    
1521-24   HM LIB      
1521-44   HV LUP      
1521-58   HD 137603   
1521-65   LR TRA      
1522+45   GRB990123   
1523+03   CS SER      
1523+19   WX SER      
1523+62   ES DRA      
1524-00   AM SER      
1524-20   NSV 7114    
1525+16   OX SER      
1525-68   LY TRA      
1526-71   NSV 20337   
1527+03   WW SER      
1527-14   RU LIB      
1527-14B  114 COMP N  
1527-14C  76 COMP SW  
1528-49A  R NOR       
1528-49B  VAR2 NOR    
1529-08   IU LIB      
1529-40   BR LUP      
1529-49A  VAR1 NOR    
1529-49B  VAR3 NOR    
1530-13   HP LIB      
1530-20   X LIB       
1531+15   TAU4 SER    
1531+26   RU CRB      
1531+57   SN 2001CM   
1531-48   V354 NOR    
1532+37   SAO 64803   
1532+60   DM DRA      
1532-15   W LIB       
1532-51   V342 NOR    
1532-52   IM NOR      
1533+19   LX SER      
1533+21   PQ SER      
1533+30   65 COMP     
1533+32   SY CRB      
1533+78A  S UMI       
1533+78C  116 VAR? E  
1533+78D  106 VAR? S  
1533+78E  121 COMP E  
1533-50   LILLER OBJ  
1533-65   HK TRA      
1534+24   LY SER      
1534+29   RT CRB      
1534-54   U NOR       
1535+29   RW CRB      
1536+23   PR SER      
1536+57   NSV 7187    
1536+57B  AY DRA      
1536+79   NSV 7155    
1536-20A  U LIB       
1536-20B  RX LIB      
1536-20C  VAR? SW     
1536-20D  93 COMP NW  
1536-54   T NOR       
1537+36   SS CRB      
1537+38   RR CRB      
1537+38B  78 COMP SW  
1537+38C  STAR SE     
1537+39   SW CRB      
1537+58   NSV 7192    
1537-66   HEN 3-1092  
1538+64   VY DRA      
1538-01   BG SER      
1538-01B  VAR? SER    
1538-09   EE LIB      
1538-33   HT LUP      
1539+06   NSV 20391   
1539+12   CD SER      
1539-62   4U 1543-62  
1540-01   PT SER      
1540-20   Z LIB       
1541+14   CT SER      
1542-35   GQ LUP      
1542-42   AB NOR      
1543+38   Y CRB       
1543-15   SS LIB      
1543-19   DN LIB      
1544+28A  R CRB       
1544+28B  TT CRB      
1544+28C  THETA CRB   
1544+28D  NSV 7290    
1544+28E  NSV 20408   
1544-48   NSV 20412   
1545+36   X CRB       
1546+15   R SER       
1546+15B  VAR? SW     
1546+38   ST CRB      
1546+39   V CRB       
1546+39B  85 COMP N   
1546-15   VW LIB      
1546-54   SY NOR      
1546-55A  NSV 20426   
1546-55B  NSV 20427   
1546-65   MM TRA      
1547+48   ST HER      
1547+48B  69 COMP SW  
1547-15   R LIB       
1547-36   R LUP       
1548+19   MR SER      
1548-18   IZ LIB      
1549+26   BD 26 2749  
1549+26B  YZ CRB      
1550+00   SDSS1555    
1550+20   QY SER      
1550+27   RXJ1554.2+  
1550-18   RR LIB      
1550-21   V1026 SCO   
1550-37   RU LUP      
1551+00   SDSS1556    
1551+09   RU SER      
1551+43   2 HER       
1552+21   QZ SER      
1552+29   Z CRB       
1552+31   ZZ CRB      
1552+66   SN 2000CF   
1552+72   SS UMI      
1552-14   FX LIB      
1552-40   RY LUP      
1552-63   S TRA       
1553-13   HD 142983   
1553-23   BK SCO      
1554+20A  AH SER      
1554+20B  VAR? E      
1554+36   RS CRB      
1554-22   DELTA SCO   
1554-29   U LUP       
1555+02   BC SER      
1555+26   T CRB       
1555+26B  NSV 7378    
1555+26C  NSV 7373    
1555+26D  NSV 7370    
1555+26E  107 COMPNN  
1555+26F  NSV 7394    
1555+26G  98 COMP W   
1555+26H  102 COMP W  
1555-62   LT TRA      
1556+33   VW CRB      
1556-05   V2348 OPH   
1556-25   V1043 SCO   
1556-40   EX LUP      
1556-73   HM APS      
1557+30   NSV 7396    
1557-23   TY SCO      
1558-23   RZ SCO      
1558-23B  STAR SW     
1558-62   U TRA       
1559+10   PU SER      
1559+37   SN 1999CC   
1559+47   X HER       
1559-23C  V864 SCO    
1559-51   V352 NOR    
1559-51B  V345 NOR    
1600+27   AB CRB      
1600-21   Z SCO       
1600-22   GL SCO      
1601+18   R HER       
1601+50   RR HER      
1601+67   AG DRA      
1601+67B  VAR NE      
1601+67C  94 COMP S   
1601-03   V2349 OPH   
1601-38   V856 SCO    
1601-73   BM APS      
1602+08   SN 1999AC   
1602+10   U SER       
1602+10B  140 COMP N  
1602-21A  X SCO       
1602-21B  UV SCO      
1602-21C  127 COMP N  
1602-21D  STAR N      
1602-21E  STAR NW     
1602-48   V NOR       
1603+08A  FQ SER      
1603+08B  FS SER      
1603+17   NSV 7471    
1603+19   V336 HER    
1603+25   SX HER      
1603-01   DX SER      
1603-26   HD 144941   
1604+06   PX SER      
1604-22   TW SCO      
1604-59   SS NOR      
1604-73   VZ APS      
1605-00   SDSS1610    
1605-09   V794 SCO    
1605-19   W SCO       
1605-24   RX SCO      
1606+08   PY SER      
1606+25   RU HER      
1606+25B  124 VAR? S  
1606+25C  84 COMP E   
1606+25D  VAR? SE     
1606+25E  102 COMP S  
1606+25F  110 COMP S  
1606+25G  VNL SUSP    
1606-19   AN SCO      
1606-21C  12.7*       
1606-53   V341 NOR    
1606-59   CS NOR      
1607+10   DN HER      
1607+23   LQ HER      
1607+24   V890 HER    
1608+00   SDSS1613    
1608+25   VV HER      
1608+25E  140 COMP N  
1608-28   V893 SCO    
1608-53   GSC87113228 
1609+16   V892 HER    
1609+32   GSC2583504  
1609-15   V894 SCO    
1609-52   W NOR       
1609-58   DM NOR      
1610+34   SIGMA CRB   
1610-57   S NOR       
1610-73   BT APS      
1611+33   SX CRB      
1611+38   W CRB       
1611-08   V1052 SCO   
1611-22A  R SCO       
1611-22B  S SCO       
1611-22C  T SCO       
1611-59   DW NOR      
1612+07   SAO 14466   
1612+29   NSV 7596    
1612-54   HP NOR      
1612-58   DX NOR      
1612-59   DZ NOR      
1613+26   NP HER      
1613+26B  VAR? NW     
1613+26C  VAR? NE     
1613+26D  115 COMP W  
1614+55   CR DRA      
1614-02   X SER       
1614-14   V1053 SCO   
1614-15   V818 SCO    
1614-50   NSV 7645    
1614-52   HY NOR      
1614-75   BY APS      
1615+60   AT DRA      
1615-59   RT NOR      
1616+22B  NSV 16826   
1616+34   AH CRB      
1616-07   W OPH       
1616-17   U SCO       
1616-65   EI TRA      
1617+19   GAMMA HER   
1617+19B  V589 HER    
1617+34   HIP 80073   
1617-06   V2350 OPH   
1617-51   X NOR       
1617-55   IK NOR      
1617-59   ER NOR      
1618+19   V361 HER    
1618+19B  NSV 7682    
1618-65   IU TRA      
1619+03   V911 OPH    
1619+31   RY CRB      
1619-04   V698 OPH    
1619-29   PKS1622-29  
1619-74   WW APS      
1620+19   NSV 7707    
1620+36   SV CRB      
1620-04   V699 OPH    
1620-22   TU OPH      
1621+19   U HER       
1621+19B  74 VAR? NW  
1621+19C  NSV 7735    
1621+19D  73 COMP NW  
1621+19E  77 COMP E   
1621+29   BE HER      
1621+39   V844 HER    
1621-12   V OPH       
1621-18   CHI OPH     
1621-41   MCQC J1628  
1621-61   FL TRA      
1622+23   V895 HER    
1622+40   SN 1999CB   
1622-07   V2105 OPH   
1622-38   V983 SCO    
1622-59   FS NOR      
1623-19   Y SCO       
1623-26   ALPHA SCO   
1623-58   RY NOR      
1624-12   - OPH       
1624-53   RZ NOR      
1624-74   FV APS      
1625+07   V897 HER    
1625+42   G HER       
1625-62   RT TRA      
1625-66   LV TRA      
1626+18   VX HER      
1626+21   V592 HER    
1626+23   DO HER      
1626+23B  VAR? NW     
1626+23C  140 COMP S  
1626-47   NSV 7808    
1626-64A  DO TRA      
1626-64B  HN TRA      
1628+07A  SS HER      
1628+07B  V840 HER    
1628+39   GN HER      
1628-15   T OPH       
1628-16   S OPH       
1628-55   X ARA       
1628-64   DT TRA      
1628-68   RU TRA      
1629+38   UY HER      
1629-48   V871 ARA    
1629-55   HEN 3-1223  
1630-31   ST SCO      
1630-52   LO ARA      
1630-59   Y ARA       
1630-64   DV TRA      
1630-68   EF TRA      
1631+12   V849 HER    
1631+21   V900 HER    
1631+26   V901 HER    
1631+33   V899 HER    
1631+37   W HER       
1631+38   TZ HER      
1631+70   RXJ1630.9+  
1631+72   R UMI       
1631+72B  99 VAR? SE  
1631+72C  96 VAR? NE  
1631-10   ZETA OPH    
1631-56   R ARA       
1632+07   Y HER       
1632+38   UU HER      
1632+66   R DRA       
1632+66B  98 COMP NW  
1632-00   SDSS1637    
1632-59   YY ARA      
1633+08   V544 HER    
1633+22   V903 HER    
1633+27   V904 HER    
1633+57   ST DRA      
1633+58   RW DRA      
1633+60   TX DRA      
1633+74   RXJ1631.4+  
1634+14   AS HER      
1634+86   W UMI       
1634-59   YZ ARA      
1635+72   VAR KIN     
1635-26   AX SCO      
1635-62   KX TRA      
1636+00   V502 OPH    
1636+49   42 HER      
1636-46   V823 ARA    
1637+60   WW DRA      
1638-27   K2-16       
1638-55   V663 ARA    
1639+08   V548 HER    
1639+20   V611 HER    
1639+26   V909 HER    
1639+40   3C 345 HER  
1639+48   V449 HER    
1639-67   V TRA       
1640+12   UV HER      
1640+12B  120 COMP S  
1640+25   AH HER      
1640+25B  121 COMP S  
1640+25C  VAR? NW     
1640+25D  116 COMP E  
1640+25E  142 COMP N  
1640+25F  128 COMP S  
1640+34   RXJ1643.7+  
1640+55   S DRA       
1640-02   V2111 OPH   
1640-27   AC SCO      
1640-49   V630 ARA    
1641-67   W TRA       
1642+39   V914 HER    
1642+72   AZ DRA      
1643+23   NSV 7969    
1643-14   AS 209      
1643-15   V1010 OPH   
1643-19   RR OPH      
1644+03   TT OPH      
1644+03B  97 COMP SE  
1644+42   V636 HER    
1644-25A  AF SCO      
1644-25B  DX SCO      
1644-41   V973 SCO    
1645-25   AS 210      
1645-41   V919 SCO    
1646+08   NSV 8001    
1646+57   AH DRA      
1646-06   V2045 OPH   
1646-25   EM SCO      
1646-56   Z ARA       
1647+05   RX OPH      
1647+05B  118 VAR? E  
1647+05C  131 COMP S  
1647+11   V2356 OPH   
1647+15   S HER       
1647-39   V1033 SCO   
1647-41   HD 152270   
1647-42   ZETA1 SCO   
1647-51   UX ARA      
1648-29   V840 OPH    
1648-30A  CL SCO      
1648-30B  EQ SCO      
1648-30C  HK SCO      
1648-30D  HL SCO      
1648-32   SS SCO      
1648-36   AK SCO      
1648-44   RS SCO      
1648-50   V846 ARA    
1649-30   V380 SCO    
1649-30B  HN SCO      
1650+07   V970 OPH    
1650+07B  116 COMP W  
1650+39   MARK 501    
1650-30   RR SCO      
1650-30B  CM SCO      
1650-30C  99 COMP E   
1650-61   V422 ARA    
1651+49   AI HER      
1651+77   RW UMI      
1651-30   EV SCO      
1651-33   RV SCO      
1651-57   V433 ARA    
1652+09   KAPPA OPH   
1652+26   V926 HER    
1652-02   SS OPH      
1652-02B  93 COMP SW  
1653+22   MV HER      
1653-12   V841 OPH    
1653-13   V854 OPH    
1654+04   V855 OPH    
1654+11   V2359 OPH   
1654+12   V440 OPH    
1654+35   HZ HER      
1654+52   AI DRA      
1654-04   NSV 8093    
1654-12   PR OPH      
1654-20   V1195 OPH   
1654-26   EO OPH      
1654-54   T ARA       
1655-48   GX 339-4    
1656+26   V928 HER    
1656+31   RV HER      
1656+31B  101 COMP S  
1656+31C  118 COMP W  
1656+52   NSV 8103    
1656-36   RT SCO      
1657+22   SY HER      
1657+22B  82 COMP SE  
1657+52   WZ DRA      
1657-36   V601 SCO    
1657-37   V884 SCO    
1658+04   V2362 OPH   
1658-11   YZ OPH      
1659+05   TX OPH      
1659+35   V931 HER    
1659-12   UX OPH      
1659-26   BF OPH      
1659-42   V1104 SCO   
1700+00   V2213 OPH   
1700+02   V2363 OPH   
1700+03   V2364 OPH   
1700+17   BF HER      
1700-33   V455 SCO    
1700-35   V956 SCO    
1700-43   V992 SCO    
1700-56   V837 ARA    
1701+13   V933 HER    
1701+39   V932 HER    
1701-31   TU SCO      
1701-32   FQ SCO      
1702+17   VY HER      
1702+24   V934 HER    
1702+48   NSV 8185    
1702-15   R OPH       
1702-15B  92 VAR? SW  
1702-15C  VAR? SW     
1702-17   V2523 OPH   
1702-25   V2051 OPH   
1702-61   SZ ARA      
1703-27   CSV 2979    
1703-33   V461 SCO    
1703-86   Z OCT       
1704+00   V2366 OPH   
1704+20   V936 HER    
1704-32   AH SCO      
1705+18   BG HER      
1705-29   V2214 OPH   
1705-33   V465 SCO    
1705-58   V499 ARA    
1705-62   CW ARA      
1706+05   SN 2001CP   
1706+27A  RT HER      
1706+27B  CX HER      
1706+29   V938 HER    
1706-24   V2400 OPH   
1707+08   V447 OPH    
1707+16   V463 HER    
1707+40   V939 HER    
1707+64   TV DRA      
1707-28   V516 OPH    
1707-29   KM OPH      
1707-59   V839 ARA    
1707-65   V877 ARA    
1707-66   V824 ARA    
1708-13   AC OPH      
1708-33   RW SCO      
1708-33B  V1075 SCO   
1709+09   V2108 OPH   
1709+16   AK HER      
1709+33   V795 HER    
1709-28   V517 OPH    
1709-32   V727 SCO    
1709-75   DT APS      
1710+11   V438 OPH    
1710+14   ALPHA HER   
1710+17   V942 HER    
1710+36   UW HER      
1710-37   V470 SCO    
1711+01   U OPH       
1711+04   UY OPH      
1711+49   PG1712+493  
1711+57   TT DRA      
1711+57B  79 COMP NE  
1711+57C  93 COMP NE  
1711+57D  VAR? NE     
1711+60   SDSS1712    
1711-32   V473 SCO    
1711-34   V1035 SCO   
1712+24   V360 HER    
1712+27   V943 HER    
1712-45   HD 156385   
1713+29   V944 HER    
1713-51   RY ARA      
1713-63   DR ARA      
1714+01   Z OPH       
1714+01B  86 COMP SW  
1714+01C  91 COMP SE  
1714+02   V2113 OPH   
1714+08   V744 OPH    
1714-26   V2264 OPH   
1715+07   V746 OPH    
1715+18   V656 HER    
1715+41   V825 HER    
1715+43   V818 HER    
1715+60   VW DRA      
1715-31   V729 SCO    
1715-45   V636 SCO    
1715-63   EH ARA      
1716+10   V750 OPH    
1716+22   FO HER      
1716+22B  109 COMP N  
1716+24   CSV 3127    
1716-19   V2527 OPH   
1717+07   UZ OPH      
1717+07B  VAR? NE     
1717+14   AG OPH      
1717+23   RS HER      
1717+23B  NSV 8606    
1717+23C  V478 HER    
1717+23D  116 COMP N  
1717+27   V393 HER    
1717-12   RY SER      
1717-12B  RX SER      
1717-22   HAD V98     
1718+15   BI HER      
1718+27   FSVJ1722+2  
1718-14   SS SER      
1718-24   BB OPH      
1718-24B  V2109 OPH   
1718-43   SW SCO      
1718-43B  HD 157451   
1719+04A  V759 OPH    
1719+04B  VAR S       
1719+04C  VAR? N      
1719+04D  VAR? NW     
1719+25   V949 HER    
1719-23   V2295 OPH   
1719-35   V478 SCO    
1719-47   AN ARA      
1720+20   V950 HER    
1720-21   V906 OPH    
1720-43   LR SCO      
1720-63   EV ARA      
1720-63B  SUSP ARA    
1721+03   VV OPH      
1721+17   V640 HER    
1721+46   WW HER      
1721-02   V453 OPH    
1721-10   SW SER      
1721-46   AQ ARA      
1721-63   FG ARA      
1722+04   VW OPH      
1722+22   V951 HER    
1722-46   AR ARA      
1723+08   V2114 OPH   
1723-19   TW OPH      
1723-42   MM SCO      
1723-46   AT ARA      
1723-64   RV ARA      
1724+54   SDSS1726    
1724-33   V482 SCO    
1724-33B  V965 SCO    
1724-49   NSV 8999    
1724-86   S OCT       
1724-86B  130 COMP N  
1725+02   V767 OPH    
1725+50   OT+546 HER  
1725+83   Y UMI       
1725-46   AX ARA      
1725-62   FV ARA      
1726+10   V1063 OPH   
1726+18   UZ HER      
1726+83   FBS1719+83  
1726-16   V442 OPH    
1726-19   V2487 OPH   
1726-32   V731 SCO    
1726-46   AY ARA      
1727+06   V772 OPH    
1727+59   GR DRA      
1727-47   AZ ARA      
1727-56   GH ARA      
1728+09A  RU OPH      
1728+09B  VAR? NE     
1728+09C  123 COMP E  
1728+26   LU HER      
1729+03   VZ OPH      
1729+14   V642 HER    
1729+23   GP HER      
1729+62   SDSS1730    
1729-19   V2313 OPH   
1729-45   V993 SCO    
1730+11   V2380 OPH   
1730+57   CV DRA      
1730-32   V449 SCO    
1730-47   BF ARA      
1731-16   V2540 OPH   
1731-35   V1037 SCO   
1731-45   V728 SCO    
1731-63   GU ARA      
1731-63B  GV ARA      
1731-63C  SUSP ARA    
1732+18   FR HER      
1732+23   V503 HER    
1732+27   V959 HER    
1732+54   SY DRA      
1732-22   V794 OPH    
1732-62A  GZ ARA      
1732-62B  HH ARA      
1733-32   V862 SCO    
1733-35   V733 SCO    
1733-43   NV SCO      
1733-45   BI ARA      
1733-45B  CD-4511775  
1733-47   AE ARA      
1734+54   AO DRA      
1734+60   SN 1999DA   
1734-11   RT SER      
1734-32   BM SCO      
1734-57   V PAV       
1735+21   NSV 9445    
1735+57   TY DRA      
1735-32   V703 SCO    
1735-33   V905 SCO    
1735-34   V721 SCO    
1735-43   RU SCO      
1735-46   CD-4611775  
1736+25   V433 HER    
1736+46   NSV 9501    
1736+46B  V962 HER    
1736-17   V2076 OPH   
1736-43   TV SCO      
1737+15   CE HER      
1737-22   V2110 OPH   
1737-32   V1086 SCO   
1737-35   KP SCO      
1737-58   TW PAV      
1738+17   AL HER      
1738+23   V660 HER    
1738-06   XX OPH      
1738-13   HD 161023   
1738-27   V3892 SGR   
1738-35   V734 SCO    
1738-46   HD 161044   
1739+06   V2314 OPH   
1739+30   V352 HER    
1739-07   NSV 9615    
1739-18   SZ SGR      
1740+21   CF HER      
1740+21B  STAR NE     
1740-18   VAR SGR     
1740-35   SX SCO      
1740-52   RZ ARA      
1740-52B  V338 ARA    
1740-58   RZ PAV      
1741+82   FBS1735+82  
1741-23   V4744 SGR   
1741-27   X SGR       
1741-27B  V4375 SGR   
1741-35   SV SCO      
1741-36   FZ SCO      
1741-36B  V707 SCO    
1741-62   W PAV       
1742+50   SAO 30548   
1742-18   V3888 SGR   
1742-23   V753 SGR    
1742-30   V500 SCO    
1742-41   V823 SCO    
1742-62   UV PAV      
1743+26   BK HER      
1743-35   V396 SCO    
1743-35B  V723 SCO    
1743-57   SY PAV      
1744+22   SU HER      
1744+22B  102 COMP N  
1744+22C  111 COMP E  
1744-06   RS OPH      
1744-06B  120 COMP N  
1744-20   V1172 SGR   
1744-27   V759 SGR    
1744-33   RY SCO      
1744-34   V709 SCO    
1745+06   V380 OPH    
1745-17   ALS 2       
1745-22   AS 245      
1745-28   KW SGR      
1745-32   V977 SCO    
1745-35   V407 SCO    
1745-35B  V382 SCO    
1745-35C  V720 SCO    
1745-51   U ARA       
1745-51B  86 COMP S   
1746+06   V381 OPH    
1746+45   V337 HER    
1746-01   V2244 OPH   
1746-14   LW SER      
1746-17   V4334 SGR   
1746-31   V744 SCO    
1747+07   V564 OPH    
1747+07B  V982 OPH    
1747+48   V744 HER    
1747-02   V533 OPH    
1747-06   Y OPH       
1747-24   V771 SGR    
1747-29   V4092 SGR   
1747-30   V1141 SCO   
1747-34   V711 SCO    
1747-34A  SY SCO      
1747-34B  BN SCO      
1747-34C  V420 SCO    
1748-25   GSC 6846 6  
1748-26   V4643 SGR   
1748-33   CR SCO      
1748-33B  V745 SCO    
1748-34   TX SCO      
1748-34B  GSC73861011 
1748-51   PQ ARA      
1749-19   V4642 SGR   
1749-27   V732 SGR    
1749-28   V781 SGR    
1749-29   97-BLG-56   
1749-31   V1142 SCO   
1749-33   AI SCO      
1750+07   RW OPH      
1750+18   SN 1998BP   
1750-19   HD 312416   
1750-31   V960 SCO    
1750-32   V1178 SCO   
1750-33   V715 SCO    
1751+03   SV OPH      
1751+03B  COMP F      
1751+11   RT OPH      
1751+26   V441 HER    
1751+52   GV DRA      
1751+56   NSV 24040   
1751-14   MU SER      
1751-28   V990 SGR    
1751-34   V716 SCO    
1752+04   NSV 9910    
1752+05   V389 OPH    
1752-28   V3889 SGR   
1752-29   V4338 SGR   
1752-29B  V2435 SGR   
1752-36   V1275 SGR   
1752-42   NSV 9923    
1753+15   Z HER       
1753+27   SN 2000CN   
1753+29   AU HER      
1753+29B  XI HER      
1753+42   AQ HER      
1753+45   OP HER      
1753-16   MIS V380    
1753-25   NSV 24062   
1753-27   V999 SGR    
1753-27B  V1944 SGR   
1753-29   V735 SGR    
1753-30   V787 SGR    
1753-30B  V4741 SGR   
1753-32   V4135 SGR   
1753-34   FT SGR      
1753-34B  FL SGR      
1753-39   V394 CRA    
1753-50   KT ARA      
1754+04   V395 OPH    
1754+11   V914 OPH    
1754+18   V973 HER    
1754+23A  FU HER      
1754+23C  128 COMP N  
1754+23D  STAR NW     
1754+30   NU HER      
1754+58A  T DRA       
1754+58B  UY DRA      
1754+58C  131 COMP W  
1754-34A  FU SGR      
1754-34B  V551 SGR    
1755+04   V2048 OPH   
1755+05   V569 OPH    
1755+19   RY HER      
1755+23   WY HER      
1755+54   UW DRA      
1755-04   SAO 142012  
1755-10   DZ SER      
1755-26   KY SGR      
1755-32   V4072 SGR   
1755-35   V384 SCO    
1756+17   V975 HER    
1756+19   BL HER      
1756+54   V DRA       
1756-23   V1950 SGR   
1756-23B  HAD V82     
1756-25   V4742 SGR   
1756-50   LM ARA      
1757+18   WZ HER      
1757+18B  V884 HER    
1757+26   SN 2001BF   
1757-23   V1951 SGR   
1757-24   SV SGR      
1757-26   AT SGR      
1757-28   NSV 24159   
1758+11   V2104 OPH   
1758+15   V977 HER    
1758+66   NGC 6532    
1758-01   NO SER      
1758-22   AV SGR      
1758-29   W SGR       
1758-32   V1783 SGR   
1758-39   W CRA       
1759+04   V2335 OPH   
1759+07   V420 OPH    
1759-20   AS 270      
1759-27   V1573 SGR   
1759-31   V1012 SGR   
1759-38   RR CRA      
1800+16   V980 HER    
1800+28   EX HER      
1800+50   GX DRA      
1800-27   V1014 SGR   
1800-28   V737 SGR    
1800-36   V615 SGR    
1800-37   GG CRA      
1800-38   PS CRA      
1800-54   KY ARA      
1801+03   V574 OPH    
1801+22   RW HER      
1801+31   FG HER      
1801-22   N SGR 89    
1801-27   V4444 SGR   
1801-27B  V4006 SGR   
1801-27C  N? SGR 03   
1801-35   V617 SGR    
1801-36   V618 SGR    
1801-37   GR CRA      
1801-37B  GM CRA      
1802+15   V981 HER    
1802+20A  DE HER      
1802+20B  DF HER      
1802+20C  VAR? W BSF  
1802+20D  117 COMP W  
1802+31   V1008 HER   
1802+39   VW HER      
1802-18   AX SGR      
1802-22   VX SGR      
1802-32   V1015 SGR   
1802-34   V630 SGR    
1802-37   WX CRA      
1802-37A  GU CRA      
1802-37B  GY CRA      
1802-43   TT CRA      
1803+05   V426 OPH    
1803+28   OMI HER     
1803+43   V982 HER    
1803+46   NSV 10240   
1803-24   V3903 SGR   
1803-25   V4157 SGR   
1803-36   FX SGR      
1803-38   V335 CRA    
1803-41   V416 CRA    
1803-42   V417 CRA    
1803-63   R PAV       
1804+38   PR HER      
1804+41   V566 HER    
1804+42   V529 HER    
1804+45   DQ HER      
1804+45B  107 COMP S  
1804+65   NSV 10221   
1804+67   EX DRA      
1804-26   V1280 SGR   
1804-28   V2506 SGR   
1804-36A  V653 SGR    
1804-36B  V655 SGR    
1804-38   V343 CRA    
1804-42   TW CRA      
1805+18   XZ HER      
1805+18B  VAR? E      
1805+18C  136 COMP W  
1805+18D  112 COMP E  
1805+18E  VAR? NW     
1805+18F  STAR SW     
1805+31   T HER       
1805+31B  VAR? E      
1805+65   W DRA       
1805-14   UZ SER      
1805-14B  126 COMP S  
1805-29   AO SGR      
1805-30   V4740 SGR   
1805-36   V725 SGR    
1805-36B  VAR? SGR    
1806+31   FI HER      
1806+33   PW HER      
1806+66   X DRA       
1806-11   AS 289      
1806-27   V1577 SGR   
1806-29   V4327 SGR   
1806-30   V739 SGR    
1807+04   NSV 10371   
1807+18   NQ HER      
1807+27   IRAS18095+  
1807+31   OTS1809+31  
